Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/112839593;House;Sale;;;496 m²;Security Gate;R2 499 000 ;3 Bedroom House for Sale in Avondale;https://images.prop24.com/309835538/Ensure1280x720|https://images.prop24.com/309835539/Ensure1280x720;https://images.prop24.com/309835538/Ensure1280x720;1.0;230 m²;496 m²;3.0;2.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/113321623;House;Sale;;;595 m²;;R1 599 000 ;2 Bedroom House for Sale in Avondale;https://images.prop24.com/315802226/Ensure1280x720|https://images.prop24.com/315802227/Ensure1280x720;https://images.prop24.com/315802226/Ensure1280x720;;;595 m²;2.0;1.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/113214009;House;Sale;;;620 m²;Security Gate;R2 550 000 ;6 Bedroom House for Sale in Avondale;https://images.prop24.com/314325582/Ensure1280x720|https://images.prop24.com/314325583/Ensure1280x720;https://images.prop24.com/314325582/Ensure1280x720;;198 m²;620 m²;6.0;3.0
AVONDALE - PAROW;https://www.property24.com/to-rent/avondale/parow/western-cape/8169/113402339;House;Rent;;;;;R13 000 ;3 Bedroom House to Rent in Avondale;;https://images.prop24.com/317333474/Crop600x400;2.0;;496 m²;3.0;1.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/112511736;House;Sale;;;137 m²;Partially Fenced, Electric Gate, Perimeter Wall;R3 700 000 ;2 Bedroom House for Sale in Gardens;https://images.prop24.com/304133806/Ensure1280x720|https://images.prop24.com/304133807/Ensure1280x720;https://images.prop24.com/304133806/Ensure1280x720;;;137 m²;2.0;2.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/112691904;House;Sale;;;220 m²;1;R6 150 000 ;3 Bedroom House for Sale in Gardens;https://images.prop24.com/307235130/Ensure1280x720|https://images.prop24.com/307235131/Ensure1280x720;https://images.prop24.com/307235130/Ensure1280x720;;;220 m²;3.0;2.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/112187417;House;Sale;;;470 m²;;R11 500 000 ;6 Bedroom House for Sale in Gardens;https://images.prop24.com/298502070/Ensure1280x720|https://images.prop24.com/298502071/Ensure1280x720;https://images.prop24.com/298502070/Ensure1280x720;2.0;300 m²;470 m²;6.0;4.5
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/112295189;House;Sale;;;404 m²;;R8 400 000 ;15 Bedroom House for Sale in Gardens;https://images.prop24.com/300411438/Ensure1280x720|https://images.prop24.com/300411439/Ensure1280x720;https://images.prop24.com/300411438/Ensure1280x720;;;404 m²;15.0;15.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/112478431;House;Sale;;;199 m²;;R5 850 000 ;4 Bedroom House for Sale in Gardens;https://images.prop24.com/303568148/Ensure1280x720|https://images.prop24.com/303568153/Ensure1280x720;https://images.prop24.com/303568148/Ensure1280x720;;300 m²;199 m²;4.0;4.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/112468148;House;Sale;;;157 m²;1;R3 995 000 ;2 Bedroom House for Sale in Gardens;https://images.prop24.com/303397767/Ensure1280x720|https://images.prop24.com/303397759/Ensure1280x720;https://images.prop24.com/303397767/Ensure1280x720;;111 m²;157 m²;2.0;2.0
