Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112625338;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R7 995 000 ;3 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/306862672/Ensure1280x720|https://images.prop24.com/306862673/Ensure1280x720;https://images.prop24.com/306862672/Ensure1280x720;1.0;156 m²;NULL;3.0;2.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/111193631;Apartment / Flat;Sale;Yes;Yes;NULL;24 Hour Access;R57 950 000 ;3 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/315264614/Ensure1280x720|https://images.prop24.com/315264615/Ensure1280x720;https://images.prop24.com/315264614/Ensure1280x720;NULL;641 m²;677 m²;3.0;5.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112745126;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R29 500 000 ;4 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/311598437/Ensure1280x720|https://images.prop24.com/311598438/Ensure1280x720;https://images.prop24.com/311598437/Ensure1280x720;3.0;662 m²;NULL;4.0;5.0
KRAAIFONTEIN;https://www.property24.com/for-sale/windsor-park/kraaifontein/western-cape/8444/113347611;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R995 000 ;2 Bedroom Apartment / Flat for Sale in Windsor Park;https://images.prop24.com/316274268/Ensure1280x720|https://images.prop24.com/316274269/Ensure1280x720;https://images.prop24.com/316274268/Ensure1280x720;NULL;52 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113310671;Apartment / Flat;Sale;NULL;NULL;NULL;Security Gate, Burglar Bars;R849 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/315576543/Ensure1280x720|https://images.prop24.com/315576545/Ensure1280x720;https://images.prop24.com/315576543/Ensure1280x720;NULL;53 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113260014;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R745 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/315040059/Ensure1280x720|https://images.prop24.com/307707243/Ensure1280x720;https://images.prop24.com/315040059/Ensure1280x720;NULL;52 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113031296;Apartment / Flat;Sale;NULL;NULL;NULL;24 Hour Access;R799 990 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/312355472/Ensure1280x720|https://images.prop24.com/312355473/Ensure1280x720;https://images.prop24.com/312355472/Ensure1280x720;NULL;52 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113296937;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R1 099 000 ;Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/315333080/Ensure1280x720|https://images.prop24.com/315333083/Ensure1280x720;https://images.prop24.com/315333080/Ensure1280x720;NULL;63 m²;NULL;NULL;NULL
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113006473;Apartment / Flat;Sale;NULL;NULL;NULL;24 Hour Response, 24 Hour Access, Electric fencing, Perimeter Wall;R1 160 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/311868407/Ensure1280x720|https://images.prop24.com/311868408/Ensure1280x720;https://images.prop24.com/311868407/Ensure1280x720;NULL;67 m²;NULL;2.0;2.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112990268;Apartment / Flat;Sale;NULL;NULL;NULL;Electric Gate, Security Gate, Burglar Bars;R795 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/311560423/Ensure1280x720|https://images.prop24.com/311560436/Ensure1280x720;https://images.prop24.com/311560423/Ensure1280x720;NULL;51 m²;NULL;2.0;1.0
