source_url,type_of_property,Size,Security,Price,name,Images,Image,garages,floor_size,erf_size,bedrooms,bathrooms
https://www.property24.com/for-sale/eikendal/kraaifontein/western-cape/8431/113067233,House,496 m²,,R 1 499 000,5 Bedroom House for Sale in Eikendal,https://images.prop24.com/313424780/Ensure1280x720|https://images.prop24.com/313424781/Ensure1280x720,https://images.prop24.com/313424780/Ensure1280x720,,281 m²,496 m²,5.0,3.0
https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113024081,House,205 m²,Electric Gate,R 2 179 000,3 Bedroom House for Sale in Buh Rein Estate,https://images.prop24.com/312166416/Ensure1280x720|https://images.prop24.com/312166420/Ensure1280x720,https://images.prop24.com/312166416/Ensure1280x720,2.0,162 m²,205 m²,3.0,3.0
https://www.property24.com/for-sale/windsor-park-estate/kraaifontein/western-cape/10051/112829711,House,599 m²,,R 1 790 000,3 Bedroom House for Sale in Windsor Park Estate,https://images.prop24.com/309586175/Ensure1280x720|https://images.prop24.com/309586177/Ensure1280x720,https://images.prop24.com/309586175/Ensure1280x720,1.0,150 m²,599 m²,3.0,2.0
https://www.property24.com/for-sale/viking-village/kraaifontein/western-cape/15611/112972272,House,500 m²,"Partially Fenced, Security Gate, Alarm System, Burglar Bars",R 2 080 000,3 Bedroom House for Sale in Viking Village,https://images.prop24.com/311240240/Ensure1280x720|https://images.prop24.com/311240245/Ensure1280x720,https://images.prop24.com/311240240/Ensure1280x720,2.0,190 m²,500 m²,3.0,2.0
https://www.property24.com/for-sale/windsor-park/kraaifontein/western-cape/8444/112545826,House,496 m²,"Security Gate, Alarm System, Burglar Bars, Electric fencing, Perimeter Wall",R 1 850 000,4 Bedroom House for Sale in Windsor Park,https://images.prop24.com/304706376/Ensure1280x720|https://images.prop24.com/304759959/Ensure1280x720,https://images.prop24.com/304706376/Ensure1280x720,,170 m²,496 m²,4.0,2.5
https://www.property24.com/for-sale/langeberg-heights/kraaifontein/western-cape/11707/111663452,House,195 m²,,R 2 225 000,3 Bedroom House for Sale in Langeberg Heights,https://images.prop24.com/312339504/Ensure1280x720|https://images.prop24.com/312339506/Ensure1280x720,https://images.prop24.com/312339504/Ensure1280x720,1.0,159 m²,195 m²,3.0,2.5
https://www.property24.com/for-sale/zonnendal/kraaifontein/western-cape/11597/112413969,House,273 m²,,R 1 750 000,3 Bedroom House for Sale in Zonnendal,https://images.prop24.com/304053858/Ensure1280x720|https://images.prop24.com/304053860/Ensure1280x720,https://images.prop24.com/304053858/Ensure1280x720,1.0,117 m²,273 m²,3.0,2.0
https://www.property24.com/for-sale/belmont-park/kraaifontein/western-cape/8426/112344675,House,496 m²,,R 1 480 000,2 Bedroom House for Sale in Belmont Park,https://images.prop24.com/301257824/Ensure1280x720|https://images.prop24.com/301257829/Ensure1280x720,https://images.prop24.com/301257824/Ensure1280x720,1.0,,496 m²,2.0,1.0
https://www.property24.com/for-sale/eikendal/kraaifontein/western-cape/8431/111419973,House,496 m²,,R 1 300 000,3 Bedroom House for Sale in Eikendal,https://images.prop24.com/286845473/Ensure1280x720,https://images.prop24.com/286845473/Ensure1280x720,,,496 m²,3.0,1.0
https://www.property24.com/for-sale/wallacedene/kraaifontein/western-cape/16502/110975242,House,,,R 460 000,4 Bedroom House for Sale in Wallacedene,,,,,,4.0,1.0
